,Total,Total,Total,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh,Assam,Assam,Assam,Bihar,Bihar,Bihar,Chandigarh,Chandigarh,Chandigarh,Chhattisgarh,Chhattisgarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,DD,DD,DD,Delhi,Delhi,Delhi,Goa,Goa,Goa,Gujarat,Gujarat,Gujarat,Haryana,Haryana,Haryana,Himachal Pradesh,Himachal Pradesh,Himachal Pradesh,Jammu and Kashmir,Jammu and Kashmir,Jammu and Kashmir,Jharkhand,Jharkhand,Jharkhand,Karnataka,Karnataka,Karnataka,Kerala,Kerala,Kerala,Ladakh,Ladakh,Ladakh,Lakshadweep,Lakshadweep,Lakshadweep,Madhya Pradesh,Madhya Pradesh,Madhya Pradesh,Maharashtra,Maharashtra,Maharashtra,Manipur,Manipur,Manipur,Meghalaya,Meghalaya,Meghalaya,Mizoram,Mizoram,Mizoram,Nagaland,Nagaland,Nagaland,Odisha,Odisha,Odisha,Puducherry,Puducherry,Puducherry,Punjab,Punjab,Punjab,Rajasthan,Rajasthan,Rajasthan,Sikkim,Sikkim,Sikkim,Tamil Nadu,Tamil Nadu,Tamil Nadu,Telangana,Telangana,Telangana,Tripura,Tripura,Tripura,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh,Uttarakhand,Uttarakhand,Uttarakhand,West Bengal,West Bengal,West Bengal,State Unassigned,State Unassigned,State Unassigned
Status,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered,Confirmed,Deceased,Recovered
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,3656,103,1082,0,0,0,67,0,36,0,0,0,0,0,0,11,0,3,5,0,2,1,0,0,0,0,0,0,0,0,349,0,69,0,0,0,376,29,153,75,1,9,1,0,0,25,0,16,0,0,0,37,2,28,0,0,61,0,0,0,0,0,0,105,9,58,1567,35,350,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,130,2,11,175,6,82,0,0,0,527,1,30,3,0,40,13,0,0,121,7,48,0,0,0,61,11,86,0,0,0
2020-05-05,2971,128,1295,0,0,0,67,1,65,0,0,0,2,0,0,7,0,31,17,0,0,1,0,0,1,0,0,0,0,0,206,0,37,0,0,0,441,49,186,31,0,2,1,1,0,15,0,17,10,0,6,22,2,10,3,0,0,0,0,0,0,0,0,107,11,144,984,34,354,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,219,2,5,97,12,87,0,0,0,508,2,76,11,0,43,13,0,0,114,6,185,1,0,0,85,7,46,0,0,0
2020-05-06,3602,91,1161,0,0,0,60,2,140,0,0,0,1,0,2,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,428,1,74,0,0,0,380,28,119,46,1,4,1,0,0,34,0,2,2,0,4,20,0,23,0,0,7,0,0,0,0,0,0,89,9,99,1233,34,275,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,75,2,2,159,4,214,0,0,0,771,2,31,11,0,20,22,0,0,118,4,143,0,0,0,112,4,1,0,0,0
2020-05-07,3344,104,1475,0,0,1,56,2,51,0,0,0,8,0,0,8,1,60,11,0,0,0,0,0,0,0,0,0,0,0,448,1,389,0,0,0,388,29,209,31,0,0,3,0,0,18,1,13,5,0,4,12,1,12,0,0,5,0,0,0,0,0,0,114,8,132,1216,43,207,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,118,1,14,110,6,150,0,0,0,580,2,31,15,0,45,24,0,0,73,2,120,0,0,0,92,7,31,0,0,0
2020-05-08,3339,97,1111,0,0,0,54,3,62,0,0,0,6,1,0,29,0,49,11,1,0,0,0,2,0,0,0,0,0,0,338,2,89,0,0,0,390,24,163,22,1,19,4,0,0,30,0,29,22,0,0,48,0,10,1,0,10,0,0,1,0,0,0,89,7,118,1089,37,169,0,0,0,0,0,0,0,0,0,0,0,0,51,0,1,1,0,2,87,1,3,152,4,122,0,0,0,600,3,58,10,0,34,30,0,0,143,4,137,2,0,6,130,9,27,0,0,0
2020-05-09,3175,115,1414,0,0,0,43,3,45,0,0,0,2,-1,0,32,0,51,23,0,3,0,0,5,0,0,0,0,0,0,224,0,0,0,0,0,394,23,219,28,1,11,2,0,1,13,0,4,2,0,37,41,0,10,2,0,1,0,0,0,0,0,0,116,11,131,1165,48,330,0,0,0,1,0,0,0,0,0,0,0,0,82,1,5,0,0,0,31,2,5,129,3,151,0,0,0,526,4,219,31,1,24,17,0,0,159,8,112,4,0,1,108,11,49,0,0,0
2020-05-10,4311,112,1669,0,0,0,50,1,38,0,0,0,1,0,0,96,1,36,4,1,0,0,0,6,0,0,0,0,0,0,381,5,49,0,0,0,398,21,454,28,1,10,6,0,0,25,0,15,1,0,0,54,1,36,7,0,4,0,0,3,0,0,0,157,4,196,1943,53,399,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0,1,61,0,9,106,2,79,0,0,0,669,3,135,33,0,0,16,0,0,94,5,154,1,0,0,153,14,45,0,0,0
2020-05-11,3592,81,1579,0,0,0,38,0,73,0,0,0,2,0,5,42,0,23,8,0,4,0,0,4,0,0,0,0,0,0,310,0,60,0,0,0,347,20,235,27,1,37,1,0,0,18,1,44,4,0,0,14,0,4,7,0,0,0,0,1,0,0,0,171,6,71,1230,36,587,0,0,0,0,0,0,0,0,0,0,0,0,38,0,17,0,0,0,54,0,2,174,5,83,0,0,0,798,6,92,79,0,50,0,0,0,106,1,105,0,0,0,124,5,82,0,0,0
2020-05-12,3562,120,1905,0,0,0,71,1,58,0,0,0,0,0,0,130,0,5,6,0,2,0,0,1,0,0,1,0,0,0,406,13,383,0,0,0,362,24,466,50,0,5,8,0,0,55,0,28,11,0,1,63,0,7,5,0,0,0,0,0,0,0,0,201,4,113,1026,53,339,0,0,0,0,0,0,0,0,0,0,0,0,22,0,31,0,0,0,37,1,3,138,4,130,0,0,0,716,8,83,51,2,21,2,0,0,91,2,115,1,0,0,110,8,113,0,0,0
2020-05-13,3726,137,1963,0,0,0,48,1,86,0,0,0,15,0,0,74,1,18,4,0,0,0,0,1,0,0,0,0,0,0,359,20,346,0,0,0,364,29,316,13,0,76,1,0,0,37,1,11,5,0,8,34,2,18,10,0,1,1,0,0,0,0,0,187,7,144,1495,54,422,0,0,0,0,0,1,0,0,0,0,0,0,101,0,27,1,0,0,10,0,29,202,4,119,0,0,0,509,3,41,41,2,117,1,0,0,94,4,92,3,0,0,117,9,90,0,0,0
2020-05-14,3991,97,1594,0,0,0,68,1,50,0,0,0,7,0,0,46,0,12,0,0,7,1,0,1,0,0,0,0,0,0,472,9,187,8,0,0,324,20,191,25,0,21,6,0,0,12,0,19,26,0,0,28,2,9,26,0,3,0,0,0,0,0,0,253,5,167,1602,44,542,1,0,0,0,0,0,0,0,0,0,0,0,134,0,15,3,0,0,11,0,23,206,4,65,0,0,0,447,2,65,47,0,13,1,0,27,144,2,107,6,0,4,87,8,66,0,0,0
2020-05-15,3808,104,2234,0,0,0,102,0,60,0,0,0,3,0,1,34,0,28,0,0,3,6,0,0,0,0,0,0,0,0,425,8,473,0,0,0,340,20,282,36,2,25,2,0,0,30,0,28,8,0,10,69,1,20,16,0,0,0,0,2,0,0,0,169,2,112,1576,49,475,0,0,0,0,0,0,0,0,0,0,0,0,65,0,8,0,0,0,-3,0,82,213,0,91,0,0,0,434,5,359,40,0,7,0,0,13,155,7,93,4,0,1,84,10,61,0,0,0
2020-05-16,4794,120,4012,0,0,0,48,1,101,0,0,0,3,0,0,145,1,33,0,0,11,1,0,2,0,0,0,0,0,0,438,6,408,5,0,0,1057,19,273,33,0,50,2,0,4,108,1,29,6,0,16,36,0,16,11,0,4,0,0,0,0,0,0,195,4,32,1606,67,524,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,14,0,952,213,1,215,0,0,0,477,4,939,55,0,12,11,0,22,201,9,276,9,0,0,115,7,63,0,0,0
2020-05-17,5049,152,2538,0,0,0,25,1,103,0,0,0,8,0,1,142,0,0,0,0,0,18,0,1,0,0,0,0,0,0,422,19,276,9,0,0,391,34,191,23,1,48,2,0,1,62,1,33,6,0,0,55,1,13,14,0,0,0,0,0,0,0,0,187,5,88,2347,63,600,0,0,0,0,0,0,0,0,0,0,0,0,91,1,24,0,0,0,18,3,109,242,5,111,0,0,0,639,4,634,42,0,21,-2,0,21,206,8,195,1,0,1,101,6,67,0,0,0
2020-05-18,4628,131,2482,0,0,0,52,0,96,0,0,0,15,2,0,103,1,44,5,0,3,10,0,0,0,0,0,0,0,0,299,12,283,9,0,0,366,35,305,18,0,36,10,0,2,106,2,34,5,0,14,99,0,21,29,0,0,0,0,19,0,0,0,259,4,32,2005,51,749,0,0,0,0,0,1,0,0,0,0,0,0,48,0,57,0,0,0,16,2,181,305,7,163,0,0,0,536,3,234,41,0,10,0,0,4,141,6,147,4,0,0,147,6,47,0,0,0
2020-05-19,6154,146,3032,0,0,0,57,2,69,0,0,0,42,0,0,96,0,0,3,0,3,5,0,0,0,0,0,0,0,0,500,6,265,8,0,0,395,25,239,36,0,29,2,1,5,28,2,38,20,0,0,149,3,13,12,0,0,0,0,0,0,0,0,229,6,196,2078,76,1202,2,0,0,0,0,0,0,0,0,0,0,0,102,1,30,5,0,1,22,1,95,338,5,119,0,0,0,688,3,489,42,4,9,8,0,27,321,5,135,15,0,0,137,6,68,814,0,0
2020-05-20,5720,134,3113,0,0,0,71,1,43,0,0,0,31,0,7,257,0,54,3,0,79,14,0,0,0,0,0,0,0,0,534,10,442,4,0,0,398,30,176,29,0,21,18,0,3,73,1,31,42,0,2,67,1,13,24,0,5,1,0,0,0,0,0,270,9,103,2161,65,679,16,0,0,1,0,0,0,0,0,0,0,0,74,1,36,1,0,0,3,0,152,170,4,67,0,0,0,743,3,987,27,2,2,0,0,0,249,4,148,15,0,1,142,3,62,282,0,0
2020-05-21,6023,148,3131,0,0,0,45,1,41,0,0,0,22,0,6,211,0,0,16,0,42,14,0,0,0,0,0,0,0,0,571,18,375,2,0,0,371,24,269,37,0,33,42,0,5,59,2,6,13,0,7,143,0,15,24,0,8,0,0,0,0,0,0,246,4,110,2345,64,1408,0,0,0,0,0,0,0,0,0,0,0,0,51,1,50,0,0,0,23,1,25,212,4,81,0,0,0,776,7,400,38,5,23,2,0,32,340,11,138,19,0,0,94,6,57,307,0,0
2020-05-22,6536,142,3280,0,0,0,62,1,26,0,0,0,15,0,0,179,2,58,1,0,0,44,0,3,0,0,0,0,0,0,660,14,330,2,0,9,363,29,392,37,2,25,16,0,0,40,0,36,20,0,0,138,0,26,42,1,2,2,0,0,0,0,0,189,1,245,2940,63,857,1,0,0,0,0,0,0,0,0,0,0,0,86,0,43,3,0,0,1,0,28,267,2,195,0,0,0,786,4,846,62,3,7,0,0,4,220,14,120,8,0,0,135,6,28,217,0,0
2020-05-23,6663,142,2576,0,0,0,47,1,48,0,0,0,121,0,2,228,0,24,6,0,1,42,0,2,1,0,0,0,0,0,591,23,370,1,0,0,396,27,289,64,0,44,17,0,2,80,1,54,27,0,5,216,1,11,62,0,3,3,0,0,0,0,0,201,9,178,2608,60,821,3,0,0,0,0,0,0,0,0,0,0,0,80,0,61,0,0,0,16,0,23,248,7,106,1,0,0,759,5,363,52,1,25,16,0,0,282,3,82,91,0,2,127,4,60,279,0,0
2020-05-24,7111,156,3285,0,0,0,66,0,62,1,0,0,46,0,1,180,0,49,37,1,0,38,0,0,0,0,0,0,0,0,508,30,273,11,0,0,394,29,243,53,0,15,18,0,2,52,0,35,20,1,7,130,0,46,53,1,5,3,0,0,0,0,0,294,9,141,3041,58,1196,3,0,2,0,0,0,0,0,0,0,0,0,67,0,53,15,0,2,15,1,28,286,3,62,0,0,0,765,8,833,41,4,24,3,0,13,251,6,132,73,2,3,208,3,58,439,0,0
2020-05-25,6414,150,3012,0,0,0,106,0,51,0,0,0,156,0,5,163,2,31,4,0,8,40,0,3,0,0,0,0,0,0,635,15,231,1,0,3,405,30,224,29,0,37,20,0,4,47,2,0,35,0,0,93,2,51,49,0,12,1,0,0,0,0,0,194,10,163,2436,60,1186,4,0,0,1,0,0,0,0,0,3,0,0,102,0,99,8,0,5,21,0,15,272,4,208,0,0,0,805,7,407,66,3,72,4,0,0,229,8,122,32,1,0,149,6,75,304,0,0
2020-05-26,5907,173,3585,0,0,0,97,1,125,0,0,0,134,0,0,231,1,67,12,0,0,68,0,12,0,0,0,0,0,0,412,12,183,0,0,9,361,27,501,92,0,22,24,0,0,91,1,24,21,0,5,101,0,59,67,1,10,0,0,0,0,0,0,165,5,118,2091,97,1168,3,0,0,5,0,0,0,0,0,1,0,0,79,0,84,0,0,0,25,0,5,236,3,220,0,0,0,646,11,611,112,1,120,34,0,0,227,8,164,51,0,6,193,5,72,328,0,0
2020-05-27,7246,188,3434,0,0,0,134,1,48,0,0,0,101,0,25,68,1,118,1,0,0,4,0,4,0,0,0,0,0,0,792,15,310,1,0,9,376,23,410,76,2,14,26,2,3,162,2,21,7,0,0,135,3,17,40,0,10,1,0,0,0,0,0,237,8,238,2190,105,964,5,0,0,0,0,0,0,0,0,5,0,0,76,0,79,0,0,0,33,0,0,280,3,286,0,0,0,817,6,567,107,6,37,10,0,0,267,5,167,69,0,15,183,6,92,1043,0,0
2020-05-28,7254,176,3171,0,0,0,128,1,68,1,0,0,97,0,16,149,0,132,10,0,2,34,0,0,0,0,0,0,0,0,1024,13,231,1,0,1,367,22,454,123,1,43,8,0,7,115,1,5,6,0,0,115,0,53,85,1,3,20,0,0,0,0,0,192,8,123,2598,85,698,11,0,0,1,0,0,0,0,0,9,0,0,67,0,75,4,0,0,19,0,28,251,7,253,0,0,0,827,12,639,117,4,24,2,0,2,179,15,224,31,0,0,344,6,90,319,0,0
2020-05-29,8138,269,11735,0,0,0,85,1,101,0,0,0,177,0,22,174,0,159,0,0,0,17,1,17,0,0,0,0,0,0,1105,82,351,0,0,3,372,20,608,217,0,59,14,0,10,128,1,16,82,1,63,248,1,60,62,1,10,0,0,0,0,0,0,192,13,219,2682,116,8381,4,0,2,6,0,0,0,0,0,7,0,0,63,2,90,4,0,6,39,2,3,298,4,429,0,0,0,874,9,765,169,4,36,10,0,0,275,4,195,216,0,23,277,7,107,341,0,0
2020-05-30,8364,205,4303,0,0,0,131,0,55,1,0,0,159,0,38,206,6,102,0,0,10,32,0,2,0,0,0,0,0,0,1163,18,229,1,0,1,412,27,621,202,1,31,18,0,24,177,0,33,73,0,40,141,1,103,58,1,10,3,0,0,0,0,0,246,9,175,2940,99,1084,1,0,0,0,0,0,0,0,0,11,0,0,96,0,73,0,0,0,36,2,18,252,9,495,0,0,0,938,6,687,74,6,31,17,0,5,256,12,241,33,1,0,317,7,195,370,0,0
2020-05-31,8789,222,4928,0,0,0,110,2,51,0,0,0,123,0,22,242,2,209,4,0,0,51,0,12,0,0,0,0,0,0,1295,57,403,1,0,2,438,31,689,168,0,77,18,0,9,105,0,19,41,0,0,299,2,221,61,0,15,0,0,4,0,0,0,198,7,398,2487,89,1248,11,0,5,0,0,0,0,0,0,7,0,0,129,0,76,13,0,2,30,1,20,214,1,293,0,0,0,1149,13,757,199,5,16,45,0,1,374,4,192,158,0,0,371,8,187,448,0,0
2020-06-01,7723,201,3882,0,0,0,105,2,34,18,0,0,146,0,99,138,0,221,4,0,15,49,0,7,1,0,0,0,0,0,990,50,268,2,0,6,423,25,861,265,1,7,9,0,2,155,3,19,26,0,40,187,1,100,57,1,18,0,0,0,0,0,0,194,8,161,2358,76,779,12,0,0,1,0,0,0,0,0,0,0,0,156,0,119,9,0,0,38,-1,13,269,5,181,0,0,0,1162,11,413,94,6,63,107,0,0,286,5,187,52,0,120,271,8,149,139,0,0
2020-06-02,8812,222,4531,0,0,0,115,0,40,2,0,0,74,0,53,151,1,62,4,1,0,15,1,9,0,0,0,0,0,0,1298,33,497,6,0,7,415,29,1114,296,2,14,5,0,18,117,2,7,61,0,0,388,0,75,86,1,19,4,1,0,0,0,0,137,6,218,2287,103,1225,6,0,3,2,0,0,12,0,0,6,0,0,141,0,80,0,0,0,41,2,17,273,4,222,0,0,0,1091,13,536,99,4,35,48,0,0,368,7,146,84,2,30,396,10,104,784,0,0
2020-06-03,9689,259,3789,0,0,0,180,4,50,10,0,0,271,0,76,230,1,222,0,0,0,64,0,40,8,0,0,0,0,0,1513,59,299,47,0,0,485,30,318,302,0,20,14,0,10,139,1,54,42,0,1,267,1,111,82,0,24,9,0,1,0,0,0,168,7,224,2560,122,996,19,0,24,3,0,1,1,0,0,9,0,0,143,0,91,11,0,8,34,1,12,279,6,309,1,0,0,1286,8,610,129,7,30,151,0,0,141,1,81,42,1,7,340,10,170,709,0,0
